id,citing,citing_venue,cited,cited_venue,creation,is_citing_iris,is_cited_iris,flow,citing_issns,cited_issns,citing_scimago_area,citing_scimago_category,citing_doaj_lcc,citing_doaj_subject,cited_scimago_area,cited_scimago_category,cited_doaj_lcc,cited_doaj_subject
oci:06460123635-06201737769,omid:br/06460123635,Astronomy & Astrophysics [omid:br/064040455 issn:0004-6361 issn:1432-0746 openalex:S205231332],omid:br/06201737769,The Astrophysical Journal [omid:br/064040542 issn:0004-637X issn:1538-4357 openalex:S1980519],2023-09,True,False,Outgoing,"['00046361', '14320746']","['0004637X', '15384357']",Earth and Planetary Sciences; Physics and Astronomy,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1),QB1-991,Science: Astronomy,Earth and Planetary Sciences; Physics and Astronomy,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1),QB460-466,Science: Astronomy: Astrophysics
oci:06404377574-061101433015,omid:br/06404377574,Physical Review D [omid:br/062509685 issn:2470-0010 issn:2470-0029 openalex:S4210238307],omid:br/061101433015,Physical Review D [omid:br/066033919 issn:1550-2368 issn:1550-7998 openalex:S4210210554],2023-03-23,True,True,Internal,"['24700010', '24700029']","['15502368', '15507998']",Physics and Astronomy,Nuclear and High Energy Physics (Q1); Physics and Astronomy (miscellaneous) (Q1),,,,,,
oci:06101690444-06301834328,omid:br/06101690444,Zeitschrift Für Physik C Particles And Fields [omid:br/0612035595 issn:0170-9739 issn:1431-5858 issn:1434-6044 issn:1434-6052],omid:br/06301834328,Journal Of High Energy Physics [omid:br/062038872 issn:1029-8479 issn:1126-6708 openalex:S187585107],2021-04,True,False,Outgoing,"['01709739', '14315858', '14346044', '14346052']","['10298479', '11266708']",Engineering; Physics and Astronomy,Engineering (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1),QB460-466|QC770-798,Science: Astronomy: Astrophysics | Science: Physics: Nuclear and particle physics. Atomic energy. Radioactivity,Physics and Astronomy,Nuclear and High Energy Physics (Q2),QC770-798,Science: Physics: Nuclear and particle physics. Atomic energy. Radioactivity
oci:063707714-06502242929,omid:br/063707714,Journal Of International And Comparative Social Policy [omid:br/063708150 issn:2169-9763 issn:2169-978X openalex:S4210216054],omid:br/06502242929,East European Politics [omid:br/06502243984 issn:2159-9165 issn:2159-9173 openalex:S2764536841],2018-10,False,True,Incoming,"['21699763', '2169978X']","['21599165', '21599173']",Social Sciences,Social Sciences (miscellaneous) (Q2); Health (social science) (Q3); Sociology and Political Science (Q3),,,Social Sciences,"Development (Q1); Geography, Planning and Development (Q1); Political Science and International Relations (Q1)",,
oci:06240572072-06140620241,omid:br/06240572072,Journal Of Physics: Conference Series [omid:br/061011806 doi:10.1088/issn.1742-6596 issn:1742-6588 issn:1742-6596],omid:br/06140620241,Physical Review B [omid:br/0616012786 issn:0163-1829 issn:1095-3795 issn:1098-0121 issn:1550-235X],2011,False,True,Incoming,"['17426596', '17426588', '17426596']","['01631829', '10953795', '10980121', '1550235X']",Physics and Astronomy,Physics and Astronomy (miscellaneous),,,,,,
oci:062201836416-062101773114,omid:br/062201836416,The Journal Of Physical Chemistry A [omid:br/0621041077 issn:1089-5639 issn:1520-5215 openalex:S146709414],omid:br/062101773114,Physical Review A [omid:br/0619043744 issn:2469-9926 issn:2469-9934 openalex:S4210182288],2019-07-18,True,False,Outgoing,"['10895639', '15205215']","['24699926', '24699934']",Chemistry; Medicine,Medicine (miscellaneous) (Q2); Physical and Theoretical Chemistry (Q2),,,Physics and Astronomy,"Atomic and Molecular Physics, and Optics (Q1)",,
oci:062303051513-06602138668,omid:br/062303051513,Proceedings Of The National Academy Of Sciences [omid:br/0621062545 doi:10.1073/pnas issn:0027-8424 issn:1091-6490 openalex:S125754415],omid:br/06602138668,Nature Chemical Biology [omid:br/064041902 issn:1548-7091 issn:1548-7105 issn:1552-4450 issn:1552-4469],2020-06-16,False,True,Incoming,"['00278424', '10916490']","['15487091', '15487105', '15524450', '15524469']",Multidisciplinary,Multidisciplinary (Q1),,,"Biochemistry, Genetics and Molecular Biology",Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Molecular Biology (Q1),,
oci:0610576198-061301665524,omid:br/0610576198,Physical Review D [omid:br/062509685 issn:2470-0010 issn:2470-0029 openalex:S4210238307],omid:br/061301665524,Zeitschrift Für Physik C Particles And Fields [omid:br/0612035595 issn:0170-9739 issn:1431-5858 issn:1434-6044 issn:1434-6052],2016-06-02,True,False,Outgoing,"['24700010', '24700029']","['01709739', '14315858', '14346044', '14346052']",Physics and Astronomy,Nuclear and High Energy Physics (Q1); Physics and Astronomy (miscellaneous) (Q1),,,Engineering; Physics and Astronomy,Engineering (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1),QB460-466|QC770-798,Science: Astronomy: Astrophysics | Science: Physics: Nuclear and particle physics. Atomic energy. Radioactivity
oci:061202029625-06120937568,omid:br/061202029625,Journal Of Chemical Theory And Computation [omid:br/0619047782 issn:1549-9618 issn:1549-9626 openalex:S189701308],omid:br/06120937568,Molecular Physics [omid:br/0612019748 issn:0026-8976 issn:1362-3028 openalex:S204809294],2010-03-12,True,False,Outgoing,"['15499618', '15499626']","['00268976', '13623028']",Chemistry; Computer Science,Computer Science Applications (Q1); Physical and Theoretical Chemistry (Q1),,,"Biochemistry, Genetics and Molecular Biology; Chemistry; Physics and Astronomy",Condensed Matter Physics (Q3); Physical and Theoretical Chemistry (Q3); Biophysics (Q4); Molecular Biology (Q4),,
oci:06901838188-061601736575,omid:br/06901838188,Monthly Notices Of The Royal Astronomical Society [omid:br/067041753 doi:10.1111/(issn)1365-2966 issn:0035-8711 issn:1365-2966 openalex:S195663288],omid:br/061601736575,The Astrophysical Journal [omid:br/064040542 issn:0004-637X issn:1538-4357 openalex:S1980519],2011-04-15,True,False,Outgoing,"['13652966', '00358711', '13652966']","['0004637X', '15384357']",Earth and Planetary Sciences; Physics and Astronomy,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1),QB1-991,Science: Astronomy,Earth and Planetary Sciences; Physics and Astronomy,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1),QB460-466,Science: Astronomy: Astrophysics
oci:062404283566-06202192307,omid:br/062404283566,Journal Of Cosmology And Astroparticle Physics [omid:br/062039004 issn:1475-7508 issn:1475-7516 openalex:S120662888],omid:br/06202192307,Monthly Notices Of The Royal Astronomical Society [omid:br/067041753 doi:10.1111/(issn)1365-2966 issn:0035-8711 issn:1365-2966 openalex:S195663288],2024-10-01,False,True,Incoming,"['14757508', '14757516']","['13652966', '00358711', '13652966']",Physics and Astronomy,Astronomy and Astrophysics (Q2),,,Earth and Planetary Sciences; Physics and Astronomy,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1),QB1-991,Science: Astronomy
