id,citing,cited,creation,is_citing_iris,is_cited_iris
oci:061603559790-061601823165,omid:br/061603559790,omid:br/061601823165,2022-10-07,false,true
oci:061503490943-061101164218,omid:br/061503490943,omid:br/061101164218,2022-11,true,false
oci:06103962294-06701667056,omid:br/06103962294,omid:br/06701667056,2022-10-07,false,true
oci:061803435984-06602141706,omid:br/061803435984,omid:br/06602141706,2022-08,true,false
oci:06302830185-06602830532,omid:br/06302830185,omid:br/06602830532,2022-09,true,true
oci:06190281421-06120713487,omid:br/06190281421,omid:br/06120713487,2022-08,true,true
oci:06903557664-06150775842,omid:br/06903557664,omid:br/06150775842,2022-10-07,false,true
oci:06203904835-061601831843,omid:br/06203904835,omid:br/061601831843,2023-03,true,false
oci:06703951373-06401831454,omid:br/06703951373,omid:br/06401831454,2022-10-07,false,true
oci:06601771920-06140432015,omid:br/06601771920,omid:br/06140432015,2022-06-29,false,true
oci:06250980087-062401276024,omid:br/06250980087,omid:br/062401276024,2022-06-25,false,true
oci:06190121073-06210118530,omid:br/06190121073,omid:br/06210118530,2022-06,false,true
oci:06301631071-06801713614,omid:br/06301631071,omid:br/06801713614,2022-06-29,false,true
oci:0640290571-06150110011,omid:br/0640290571,omid:br/06150110011,2022-11,true,false
oci:062103515832-06250194708,omid:br/062103515832,omid:br/06250194708,2022-10-06,false,true
oci:062203504807-06701521412,omid:br/062203504807,omid:br/06701521412,2022-10-06,false,true
oci:061201804806-06302869307,omid:br/061201804806,omid:br/06302869307,2021-12-01,true,false
oci:0630219308-0610687142,omid:br/0630219308,omid:br/0610687142,2022-11,false,true
oci:061702616816-06160992499,omid:br/061702616816,omid:br/06160992499,2022-06-30,true,false
oci:061503490943-06230235472,omid:br/061503490943,omid:br/06230235472,2022-11,true,false
oci:06603918763-06160925897,omid:br/06603918763,omid:br/06160925897,2022-11,false,true
oci:061702616816-06303530117,omid:br/061702616816,omid:br/06303530117,2022-06-30,true,false
oci:06403962913-061902044439,omid:br/06403962913,omid:br/061902044439,2023-02-01,false,true
oci:061702616613-06203119038,omid:br/061702616613,omid:br/06203119038,2022-07-04,true,false
oci:06303959762-061501040297,omid:br/06303959762,omid:br/061501040297,2022-12,true,false
oci:061702616816-062601061866,omid:br/061702616816,omid:br/062601061866,2022-06-30,true,false
oci:062503467520-062502562934,omid:br/062503467520,omid:br/062502562934,2022,true,false
oci:06303959762-06250194534,omid:br/06303959762,omid:br/06250194534,2022-12,true,false
oci:06203904835-061201804275,omid:br/06203904835,omid:br/061201804275,2023-03,true,false
oci:06303959762-062401151329,omid:br/06303959762,omid:br/062401151329,2022-12,true,false
oci:062403526759-061301137509,omid:br/062403526759,omid:br/061301137509,2022-10-06,false,true
oci:06160868717-0680525458,omid:br/06160868717,omid:br/0680525458,2022-06-30,false,true
oci:06150665563-062202091272,omid:br/06150665563,omid:br/062202091272,2022-12,false,true
oci:06401733033-06901516740,omid:br/06401733033,omid:br/06901516740,2022,false,true
oci:062603523723-064601404,omid:br/062603523723,omid:br/064601404,2022-10-18,false,true
oci:061403530304-06503061204,omid:br/061403530304,omid:br/06503061204,2022-10-07,true,false
oci:06603136863-061601530086,omid:br/06603136863,omid:br/061601530086,2022-10,true,false
oci:06201397037-062401864825,omid:br/06201397037,omid:br/062401864825,2022-10,false,true
oci:061103551739-061301403955,omid:br/061103551739,omid:br/061301403955,2022-12,true,false
oci:062403531958-06801425705,omid:br/062403531958,omid:br/06801425705,2022-09-30,false,true
oci:062601280352-06120498565,omid:br/062601280352,omid:br/06120498565,2022,false,true
oci:06240872730-0610177272,omid:br/06240872730,omid:br/0610177272,2022-06-28,false,true
oci:062103520219-06202188723,omid:br/062103520219,omid:br/06202188723,2022-10-07,false,true
oci:061503487204-0630911159,omid:br/061503487204,omid:br/0630911159,2022,false,true
oci:06203853501-064701795,omid:br/06203853501,omid:br/064701795,2022-07-01,false,true
oci:061702616613-06102316483,omid:br/061702616613,omid:br/06102316483,2022-07-04,true,false
oci:0650299193-061601556352,omid:br/0650299193,omid:br/061601556352,2022-07,true,false
oci:062303546312-061601210529,omid:br/062303546312,omid:br/061601210529,2022-08,true,false
oci:06203531394-06402289305,omid:br/06203531394,omid:br/06402289305,2022-06,false,true
oci:061601368859-06140652675,omid:br/061601368859,omid:br/06140652675,2022-06-30,true,false
oci:06703902886-0630291595,omid:br/06703902886,omid:br/0630291595,2022-10-07,true,false
oci:061503490943-06702330275,omid:br/061503490943,omid:br/06702330275,2022-11,true,true
oci:061203538883-06260610640,omid:br/061203538883,omid:br/06260610640,2022-10,false,true
oci:06901326477-0610597495,omid:br/06901326477,omid:br/0610597495,2022-06-28,true,false
oci:06701344151-062102052215,omid:br/06701344151,omid:br/062102052215,2022-06-28,false,true
oci:062203514315-06401759663,omid:br/062203514315,omid:br/06401759663,2022-11,true,false
oci:061103499719-06180948923,omid:br/061103499719,omid:br/06180948923,2022-01-31,false,true
oci:06503941893-06202833834,omid:br/06503941893,omid:br/06202833834,2022-12,false,true
