flow,citing_loc_label,cited_loc_label,weight
Incoming,LANGUAGE AND LITERATURE,SOCIAL SCIENCES,5878
Incoming,POLITICAL SCIENCE,LANGUAGE AND LITERATURE,5808
Incoming,EDUCATION,LANGUAGE AND LITERATURE,5807
Outgoing,Others,TECHNOLOGY,5673
Incoming,LANGUAGE AND LITERATURE,PHILOSOPHY. PSYCHOLOGY. RELIGION,5619
Outgoing,Others,GEOGRAPHY. ANTHROPOLOGY. RECREATION,5584
Internal,Multidisciplinary,MEDICINE,5513
Incoming,AGRICULTURE,PHILOSOPHY. PSYCHOLOGY. RELIGION,5435
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,Others,5432
Incoming,Others,GEOGRAPHY. ANTHROPOLOGY. RECREATION,5336
Incoming,Multidisciplinary,GEOGRAPHY. ANTHROPOLOGY. RECREATION,5319
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,LANGUAGE AND LITERATURE,5295
Incoming,LANGUAGE AND LITERATURE,EDUCATION,5291
Incoming,LANGUAGE AND LITERATURE,POLITICAL SCIENCE,5288
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,AGRICULTURE,5231
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,AGRICULTURE,5171
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,Multidisciplinary,5061
Internal,SOCIAL SCIENCES,SCIENCE,4879
Incoming,Multidisciplinary,TECHNOLOGY,4809
Outgoing,Multidisciplinary,TECHNOLOGY,4739
Outgoing,SOCIAL SCIENCES,Multidisciplinary,4720
Incoming,SOCIAL SCIENCES,Multidisciplinary,4651
Outgoing,TECHNOLOGY,PHILOSOPHY. PSYCHOLOGY. RELIGION,4615
Incoming,Others,SOCIAL SCIENCES,4526
Incoming,SOCIAL SCIENCES,Others,4510
Outgoing,POLITICAL SCIENCE,Others,4510
Outgoing,EDUCATION,Others,4510
Internal,MEDICINE,Others,4495
Internal,SCIENCE,SOCIAL SCIENCES,4469
Internal,AGRICULTURE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,4441
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,MEDICINE,4388
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,Multidisciplinary,4307
Incoming,EDUCATION,Multidisciplinary,4231
Incoming,POLITICAL SCIENCE,Multidisciplinary,4160
Outgoing,Others,EDUCATION,4153
Outgoing,Others,POLITICAL SCIENCE,4136
Internal,SOCIAL SCIENCES,SOCIAL SCIENCES,4130
Internal,SOCIAL SCIENCES,MEDICINE,4124
Internal,SOCIAL SCIENCES,GEOGRAPHY. ANTHROPOLOGY. RECREATION,4096
Internal,MEDICINE,PHILOSOPHY. PSYCHOLOGY. RELIGION,4083
Internal,EDUCATION,SCIENCE,4061
Internal,POLITICAL SCIENCE,SCIENCE,4029
Outgoing,EDUCATION,Multidisciplinary,4002
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,AGRICULTURE,3991
Incoming,AGRICULTURE,Others,3955
Outgoing,Multidisciplinary,PHILOSOPHY. PSYCHOLOGY. RELIGION,3955
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,Others,3954
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SOCIAL SCIENCES,3951
Outgoing,POLITICAL SCIENCE,Multidisciplinary,3947
Incoming,LANGUAGE AND LITERATURE,LANGUAGE AND LITERATURE,3902
Internal,SCIENCE,EDUCATION,3820
Internal,SCIENCE,POLITICAL SCIENCE,3774
Internal,POLITICAL SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,3725
Internal,EDUCATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,3721
Internal,MEDICINE,SOCIAL SCIENCES,3649
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,EDUCATION,3633
Internal,EDUCATION,MEDICINE,3622
