flow,citing_loc_label,cited_loc_label,weight
Incoming,Multidisciplinary,TECHNOLOGY,378
Incoming,EDUCATION,Others,359
Incoming,POLITICAL SCIENCE,Others,359
Internal,Multidisciplinary,SCIENCE,358
Incoming,LANGUAGE AND LITERATURE,POLITICAL SCIENCE,358
Incoming,LANGUAGE AND LITERATURE,EDUCATION,358
Incoming,Multidisciplinary,GEOGRAPHY. ANTHROPOLOGY. RECREATION,350
Incoming,LANGUAGE AND LITERATURE,PHILOSOPHY. PSYCHOLOGY. RELIGION,346
Outgoing,LANGUAGE AND LITERATURE,TECHNOLOGY,345
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,LANGUAGE AND LITERATURE,341
Internal,Multidisciplinary,MEDICINE,335
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,Others,331
Outgoing,AGRICULTURE,PHILOSOPHY. PSYCHOLOGY. RELIGION,323
Incoming,SOCIAL SCIENCES,LANGUAGE AND LITERATURE,320
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,LANGUAGE AND LITERATURE,319
Internal,SCIENCE,SOCIAL SCIENCES,318
Incoming,MEDICINE,FINE ARTS,316
Outgoing,TECHNOLOGY,PHILOSOPHY. PSYCHOLOGY. RELIGION,314
Outgoing,SOCIAL SCIENCES,Multidisciplinary,313
Outgoing,Others,PHILOSOPHY. PSYCHOLOGY. RELIGION,308
Incoming,SCIENCE,FINE ARTS,306
Incoming,AGRICULTURE,EDUCATION,305
Incoming,POLITICAL SCIENCE,LANGUAGE AND LITERATURE,304
Internal,SOCIAL SCIENCES,SCIENCE,302
Incoming,EDUCATION,LANGUAGE AND LITERATURE,302
Incoming,AGRICULTURE,POLITICAL SCIENCE,301
Incoming,LANGUAGE AND LITERATURE,LANGUAGE AND LITERATURE,295
Incoming,SOCIAL SCIENCES,Multidisciplinary,288
Internal,SCIENCE,EDUCATION,267
Outgoing,EDUCATION,Multidisciplinary,261
Internal,SCIENCE,POLITICAL SCIENCE,261
Internal,POLITICAL SCIENCE,SCIENCE,257
Internal,EDUCATION,SCIENCE,257
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,AGRICULTURE,256
Outgoing,POLITICAL SCIENCE,Multidisciplinary,256
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,Multidisciplinary,255
Incoming,EDUCATION,Multidisciplinary,251
Incoming,POLITICAL SCIENCE,Multidisciplinary,249
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,AGRICULTURE,248
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,Multidisciplinary,247
Outgoing,Multidisciplinary,PHILOSOPHY. PSYCHOLOGY. RELIGION,227
Outgoing,Multidisciplinary,SOCIAL SCIENCES,224
Internal,SOCIAL SCIENCES,MEDICINE,222
Internal,SOCIAL SCIENCES,SOCIAL SCIENCES,220
Outgoing,SCIENCE,FINE ARTS,198
Outgoing,AGRICULTURE,Others,197
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,TECHNOLOGY,195
Internal,AGRICULTURE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,191
Internal,EDUCATION,MEDICINE,190
Internal,POLITICAL SCIENCE,MEDICINE,189
Internal,MEDICINE,SOCIAL SCIENCES,187
Incoming,TECHNOLOGY,PHILOSOPHY. PSYCHOLOGY. RELIGION,187
Outgoing,TECHNOLOGY,LANGUAGE AND LITERATURE,183
Outgoing,Multidisciplinary,EDUCATION,180
Outgoing,Multidisciplinary,POLITICAL SCIENCE,173
Internal,TECHNOLOGY,GEOGRAPHY. ANTHROPOLOGY. RECREATION,169
Incoming,Others,Multidisciplinary,164
Incoming,Multidisciplinary,SOCIAL SCIENCES,158
Outgoing,AGRICULTURE,LANGUAGE AND LITERATURE,157
Internal,SOCIAL SCIENCES,GEOGRAPHY. ANTHROPOLOGY. RECREATION,157
Incoming,FINE ARTS,SCIENCE,152
Incoming,LANGUAGE AND LITERATURE,TECHNOLOGY,149
Incoming,AGRICULTURE,PHILOSOPHY. PSYCHOLOGY. RELIGION,149
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,MEDICINE,148
Outgoing,Multidisciplinary,Others,147
Outgoing,FINE ARTS,SCIENCE,146
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SOCIAL SCIENCES,145
Internal,MEDICINE,Others,145
Incoming,AGRICULTURE,Others,144
Internal,MEDICINE,POLITICAL SCIENCE,142
Incoming,MEDICINE,LAW,142
Internal,MEDICINE,EDUCATION,142
Outgoing,LANGUAGE AND LITERATURE,AGRICULTURE,141
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,Others,137
Internal,SOCIAL SCIENCES,EDUCATION,136
Internal,SOCIAL SCIENCES,POLITICAL SCIENCE,136
Incoming,TECHNOLOGY,LANGUAGE AND LITERATURE,133
Incoming,LANGUAGE AND LITERATURE,Multidisciplinary,133
Internal,POLITICAL SCIENCE,SOCIAL SCIENCES,129
Internal,EDUCATION,SOCIAL SCIENCES,128
Incoming,Multidisciplinary,EDUCATION,127
Outgoing,LAW,MEDICINE,126
Incoming,Multidisciplinary,POLITICAL SCIENCE,125
Outgoing,Others,LANGUAGE AND LITERATURE,125
Outgoing,MEDICINE,FINE ARTS,124
Internal,TECHNOLOGY,AGRICULTURE,124
Outgoing,Others,Multidisciplinary,122
Outgoing,LAW,SCIENCE,122
Internal,MEDICINE,PHILOSOPHY. PSYCHOLOGY. RELIGION,120
Internal,POLITICAL SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,120
Internal,EDUCATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,119
Incoming,Multidisciplinary,Others,118
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,SCIENCE,116
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,AGRICULTURE,115
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,POLITICAL SCIENCE,114
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,EDUCATION,114
Outgoing,LANGUAGE AND LITERATURE,Multidisciplinary,111
Outgoing,Others,AGRICULTURE,111
Outgoing,Multidisciplinary,LANGUAGE AND LITERATURE,105
Internal,SCIENCE,PHILOSOPHY. PSYCHOLOGY. RELIGION,101
Internal,POLITICAL SCIENCE,EDUCATION,100
Internal,POLITICAL SCIENCE,POLITICAL SCIENCE,100
Internal,EDUCATION,EDUCATION,99
Internal,EDUCATION,POLITICAL SCIENCE,99
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,TECHNOLOGY,96
Internal,SCIENCE,Others,95
Internal,LANGUAGE AND LITERATURE,SCIENCE,93
Incoming,Multidisciplinary,PHILOSOPHY. PSYCHOLOGY. RELIGION,92
Internal,Others,SCIENCE,91
Outgoing,FINE ARTS,MEDICINE,88
Incoming,SCIENCE,LAW,88
Internal,SCIENCE,LANGUAGE AND LITERATURE,78
Incoming,Others,AGRICULTURE,75
Outgoing,LANGUAGE AND LITERATURE,Others,74
Internal,Others,MEDICINE,71
Internal,Multidisciplinary,Multidisciplinary,69
Internal,TECHNOLOGY,SOCIAL SCIENCES,68
Incoming,Others,PHILOSOPHY. PSYCHOLOGY. RELIGION,68
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,PHILOSOPHY. PSYCHOLOGY. RELIGION,64
Internal,SOCIAL SCIENCES,TECHNOLOGY,62
Internal,Others,Others,60
Internal,AGRICULTURE,TECHNOLOGY,59
Incoming,LANGUAGE AND LITERATURE,AGRICULTURE,55
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,54
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,SOCIAL SCIENCES,54
Internal,TECHNOLOGY,EDUCATION,53
Internal,LANGUAGE AND LITERATURE,MEDICINE,53
Internal,TECHNOLOGY,POLITICAL SCIENCE,52
Outgoing,SCIENCE,LAW,51
Internal,AGRICULTURE,Multidisciplinary,51
Internal,MEDICINE,LANGUAGE AND LITERATURE,50
Incoming,AGRICULTURE,LANGUAGE AND LITERATURE,50
Incoming,LANGUAGE AND LITERATURE,Others,49
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,EDUCATION,49
Outgoing,MEDICINE,LAW,48
Internal,TECHNOLOGY,Multidisciplinary,48
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,POLITICAL SCIENCE,48
Internal,POLITICAL SCIENCE,TECHNOLOGY,47
Internal,EDUCATION,TECHNOLOGY,47
Incoming,FINE ARTS,TECHNOLOGY,44
Internal,LANGUAGE AND LITERATURE,PHILOSOPHY. PSYCHOLOGY. RELIGION,43
Internal,Multidisciplinary,TECHNOLOGY,41
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,Multidisciplinary,41
Internal,LANGUAGE AND LITERATURE,SOCIAL SCIENCES,41
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,LANGUAGE AND LITERATURE,40
Incoming,Multidisciplinary,LANGUAGE AND LITERATURE,40
Internal,LANGUAGE AND LITERATURE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,39
Internal,LANGUAGE AND LITERATURE,LANGUAGE AND LITERATURE,39
Internal,Multidisciplinary,AGRICULTURE,37
Incoming,FINE ARTS,MEDICINE,37
Internal,SOCIAL SCIENCES,AGRICULTURE,37
Internal,LANGUAGE AND LITERATURE,EDUCATION,36
Internal,Others,TECHNOLOGY,36
Incoming,Multidisciplinary,FINE ARTS,36
Internal,TECHNOLOGY,Others,35
Internal,LANGUAGE AND LITERATURE,POLITICAL SCIENCE,35
Internal,SOCIAL SCIENCES,PHILOSOPHY. PSYCHOLOGY. RELIGION,34
Internal,EDUCATION,AGRICULTURE,33
Internal,POLITICAL SCIENCE,AGRICULTURE,33
Outgoing,FINE ARTS,Multidisciplinary,32
Internal,Others,SOCIAL SCIENCES,30
Incoming,SCIENCE,AUXILIARY SCIENCES OF HISTORY,30
Incoming,Others,LANGUAGE AND LITERATURE,30
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,PHILOSOPHY. PSYCHOLOGY. RELIGION,29
Incoming,LAW,MEDICINE,28
Internal,POLITICAL SCIENCE,PHILOSOPHY. PSYCHOLOGY. RELIGION,28
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,FINE ARTS,28
Internal,EDUCATION,PHILOSOPHY. PSYCHOLOGY. RELIGION,27
Internal,MEDICINE,LAW,26
Incoming,TECHNOLOGY,FINE ARTS,25
Internal,Others,GEOGRAPHY. ANTHROPOLOGY. RECREATION,24
Outgoing,SCIENCE,AUXILIARY SCIENCES OF HISTORY,22
Internal,Multidisciplinary,GEOGRAPHY. ANTHROPOLOGY. RECREATION,21
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,Others,20
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,LANGUAGE AND LITERATURE,20
Internal,SOCIAL SCIENCES,LANGUAGE AND LITERATURE,20
Internal,POLITICAL SCIENCE,LANGUAGE AND LITERATURE,20
Incoming,FINE ARTS,GEOGRAPHY. ANTHROPOLOGY. RECREATION,19
Internal,Others,POLITICAL SCIENCE,19
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,TECHNOLOGY,19
Internal,SOCIAL SCIENCES,Others,19
Internal,LANGUAGE AND LITERATURE,TECHNOLOGY,19
Internal,EDUCATION,LANGUAGE AND LITERATURE,19
Internal,Others,EDUCATION,19
Incoming,AGRICULTURE,FINE ARTS,18
Internal,TECHNOLOGY,PHILOSOPHY. PSYCHOLOGY. RELIGION,18
Incoming,SOCIAL SCIENCES,FINE ARTS,18
Incoming,AUXILIARY SCIENCES OF HISTORY,SCIENCE,17
Outgoing,TECHNOLOGY,FINE ARTS,16
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,FINE ARTS,16
Incoming,EDUCATION,FINE ARTS,16
