flow,citing_loc_label,cited_loc_label,weight
Outgoing,LANGUAGE AND LITERATURE,SOCIAL SCIENCES,9801
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,SOCIAL SCIENCES,9691
Outgoing,TECHNOLOGY,Multidisciplinary,9658
Incoming,AGRICULTURE,TECHNOLOGY,9627
Outgoing,AGRICULTURE,EDUCATION,9351
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,Multidisciplinary,9330
Outgoing,AGRICULTURE,POLITICAL SCIENCE,9284
Outgoing,LANGUAGE AND LITERATURE,LANGUAGE AND LITERATURE,9133
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SCIENCE,8998
Incoming,MEDICINE,LANGUAGE AND LITERATURE,8705
Outgoing,LANGUAGE AND LITERATURE,EDUCATION,8653
Outgoing,LANGUAGE AND LITERATURE,POLITICAL SCIENCE,8651
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,EDUCATION,8519
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,POLITICAL SCIENCE,8486
Outgoing,SOCIAL SCIENCES,Others,8280
Internal,SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,8118
Incoming,TECHNOLOGY,Multidisciplinary,8069
Outgoing,TECHNOLOGY,SOCIAL SCIENCES,7977
Outgoing,Others,GEOGRAPHY. ANTHROPOLOGY. RECREATION,7728
Outgoing,SOCIAL SCIENCES,TECHNOLOGY,7653
Incoming,SOCIAL SCIENCES,AGRICULTURE,7590
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,Others,7430
Incoming,SCIENCE,LANGUAGE AND LITERATURE,7359
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,7330
Incoming,AGRICULTURE,SOCIAL SCIENCES,7089
Internal,TECHNOLOGY,TECHNOLOGY,6973
Incoming,EDUCATION,AGRICULTURE,6957
Incoming,POLITICAL SCIENCE,AGRICULTURE,6951
Incoming,LANGUAGE AND LITERATURE,SCIENCE,6851
Outgoing,AGRICULTURE,PHILOSOPHY. PSYCHOLOGY. RELIGION,6716
Outgoing,Others,TECHNOLOGY,6587
Outgoing,TECHNOLOGY,Others,6329
Incoming,TECHNOLOGY,Others,6258
Incoming,AGRICULTURE,EDUCATION,6252
Incoming,TECHNOLOGY,SOCIAL SCIENCES,6249
Incoming,AGRICULTURE,POLITICAL SCIENCE,6244
Incoming,Multidisciplinary,AGRICULTURE,6234
Outgoing,Multidisciplinary,GEOGRAPHY. ANTHROPOLOGY. RECREATION,6033
Outgoing,EDUCATION,TECHNOLOGY,6032
Outgoing,POLITICAL SCIENCE,TECHNOLOGY,6021
Outgoing,TECHNOLOGY,EDUCATION,6015
Outgoing,TECHNOLOGY,POLITICAL SCIENCE,5985
Outgoing,Others,EDUCATION,5938
Outgoing,Others,POLITICAL SCIENCE,5929
Incoming,SOCIAL SCIENCES,TECHNOLOGY,5878
Internal,AGRICULTURE,MEDICINE,5610
Incoming,Others,TECHNOLOGY,5532
Internal,TECHNOLOGY,MEDICINE,5514
Outgoing,POLITICAL SCIENCE,Others,5460
Outgoing,EDUCATION,Others,5420
Incoming,LANGUAGE AND LITERATURE,PHILOSOPHY. PSYCHOLOGY. RELIGION,5371
Incoming,SOCIAL SCIENCES,Others,5117
Outgoing,AGRICULTURE,Others,5016
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,Others,5004
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,MEDICINE,4995
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,LANGUAGE AND LITERATURE,4950
Incoming,EDUCATION,TECHNOLOGY,4878
Incoming,POLITICAL SCIENCE,TECHNOLOGY,4849
Internal,SCIENCE,Multidisciplinary,4747
Outgoing,Multidisciplinary,PHILOSOPHY. PSYCHOLOGY. RELIGION,4746
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,LANGUAGE AND LITERATURE,4698
Internal,MEDICINE,AGRICULTURE,4644
Incoming,TECHNOLOGY,POLITICAL SCIENCE,4568
Incoming,TECHNOLOGY,EDUCATION,4568
Incoming,LANGUAGE AND LITERATURE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,4509
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,AGRICULTURE,4507
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,Multidisciplinary,4497
Internal,MEDICINE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,4393
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,MEDICINE,4304
Incoming,Multidisciplinary,GEOGRAPHY. ANTHROPOLOGY. RECREATION,4248
Incoming,LANGUAGE AND LITERATURE,SOCIAL SCIENCES,4245
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,Others,4165
Incoming,SOCIAL SCIENCES,LANGUAGE AND LITERATURE,4125
Internal,MEDICINE,PHILOSOPHY. PSYCHOLOGY. RELIGION,4089
Outgoing,TECHNOLOGY,PHILOSOPHY. PSYCHOLOGY. RELIGION,3966
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,Multidisciplinary,3941
Internal,MEDICINE,TECHNOLOGY,3924
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,AGRICULTURE,3904
Incoming,Others,SOCIAL SCIENCES,3865
Outgoing,Others,PHILOSOPHY. PSYCHOLOGY. RELIGION,3823
Incoming,EDUCATION,LANGUAGE AND LITERATURE,3808
Incoming,POLITICAL SCIENCE,LANGUAGE AND LITERATURE,3806
Internal,MEDICINE,Multidisciplinary,3796
Incoming,LANGUAGE AND LITERATURE,EDUCATION,3683
Incoming,LANGUAGE AND LITERATURE,POLITICAL SCIENCE,3676
Internal,AGRICULTURE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,3621
Incoming,Others,GEOGRAPHY. ANTHROPOLOGY. RECREATION,3605
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,PHILOSOPHY. PSYCHOLOGY. RELIGION,3596
Incoming,POLITICAL SCIENCE,Others,3541
Incoming,EDUCATION,Others,3512
Outgoing,SOCIAL SCIENCES,Multidisciplinary,3411
Internal,Multidisciplinary,SCIENCE,3375
Internal,SOCIAL SCIENCES,SOCIAL SCIENCES,3372
Incoming,SOCIAL SCIENCES,Multidisciplinary,3360
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SOCIAL SCIENCES,3300
Internal,SOCIAL SCIENCES,GEOGRAPHY. ANTHROPOLOGY. RECREATION,3267
Incoming,Multidisciplinary,TECHNOLOGY,3217
Outgoing,AGRICULTURE,LANGUAGE AND LITERATURE,3168
Outgoing,Multidisciplinary,SOCIAL SCIENCES,3163
Incoming,LANGUAGE AND LITERATURE,LANGUAGE AND LITERATURE,3151
Incoming,EDUCATION,Multidisciplinary,3092
Internal,Multidisciplinary,MEDICINE,3080
Incoming,POLITICAL SCIENCE,Multidisciplinary,3066
Incoming,TECHNOLOGY,PHILOSOPHY. PSYCHOLOGY. RELIGION,3066
Internal,POLITICAL SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,3009
Internal,EDUCATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,3007
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,EDUCATION,2976
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,POLITICAL SCIENCE,2975
Outgoing,EDUCATION,Multidisciplinary,2920
Outgoing,POLITICAL SCIENCE,Multidisciplinary,2900
Outgoing,Multidisciplinary,TECHNOLOGY,2879
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,TECHNOLOGY,2862
Internal,SOCIAL SCIENCES,SCIENCE,2743
Outgoing,Multidisciplinary,EDUCATION,2723
Outgoing,Multidisciplinary,POLITICAL SCIENCE,2711
Incoming,AGRICULTURE,Others,2698
Internal,POLITICAL SCIENCE,SOCIAL SCIENCES,2654
